top_rank,name,percent,no.unrelated_features
3,MedRentnumeric,0.015,2
3,MedRentPctHousIncnumeric,0.015,2
3,MedYrHousBuiltnumeric,0.02,2
3,NumInSheltersnumeric,0.025,2
3,NumStreetnumeric,0.015,2
3,OwnOccLowQuartnumeric,0.015,2
3,OwnOccMedValnumeric,0.01,2
3,PctBSorMorenumeric,0.015,2
3,PctEmplManunumeric,0.005,2
3,PctEmplProfServnumeric,0.005,2
3,PctEmploynumeric,0.015,2
3,PctFam2Parnumeric,0.005,2
3,PctForeignBornnumeric,0.005,2
3,PctHousLess3BRnumeric,0.005,2
3,PctHousNoPhonenumeric,0.01,2
3,PctHousOccupnumeric,0.01,2
3,PctHousOwnOccnumeric,0.005,2
3,PctIllegnumeric,0.005,2
3,PctImmigRec10numeric,0.02,2
3,PctImmigRec5numeric,0.005,2
3,PctImmigRec8numeric,0.015,2
3,PctImmigRecentnumeric,0.02,2
3,PctKids2Parnumeric,0.015,2
3,PctLargHouseFamnumeric,0.01,2
3,PctLess9thGradenumeric,0.005,2
3,PctNotHSGradnumeric,0.01,2
3,PctPersDenseHousnumeric,0.02,2
3,PctPersOwnOccupnumeric,0.01,2
3,PctRecImmig10numeric,0.005,2
3,PctRecImmig5numeric,0.01,2
3,PctRecImmig8numeric,0.005,2
3,PctRecentImmignumeric,0.005,2
3,PctSameCity85numeric,0.005,2
3,PctSameState85numeric,0.015,2
3,PctSpeakEnglOnlynumeric,0.005,2
3,PctTeen2Parnumeric,0.005,2
3,PctUsePubTransnumeric,0.005,2
3,PctVacMore6Mosnumeric,0.01,2
3,PctWorkMomnumeric,0.005,2
3,PctWorkMomYoungKidsnumeric,0.005,2
3,PctYoungKids2Parnumeric,0.005,2
3,PersPerFamnumeric,0.005,2
3,PersPerOccupHousnumeric,0.015,2
3,PersPerOwnOccHousnumeric,0.01,2
3,PolicCarsnumeric,0.005,2
3,PolicOperBudgnumeric,0.005,2
3,RentHighQnumeric,0.005,2
3,RentLowQnumeric,0.005,2
3,TotalPctDivnumeric,0.005,2
3,agePct12t21numeric,0.01,2
3,agePct12t29numeric,0.01,2
3,agePct16t24numeric,0.005,2
3,agePct65upnumeric,0.01,2
3,blackPerCapnumeric,0.005,2
3,householdsizenumeric,0.01,2
3,indianPerCapnumeric,0.01,2
3,medFamIncnumeric,0.02,2
3,medIncomenumeric,0.005,2
3,numbUrbannumeric,0.005,2
3,pctUrbannumeric,0.035,2
3,pctWFarmSelfnumeric,0.005,2
3,pctWInvIncnumeric,0.02,2
3,pctWPubAsstnumeric,0.01,2
3,pctWRetirenumeric,0.025,2
3,pctWSocSecnumeric,0.01,2
3,pctWWagenumeric,0.01,2
3,perCapIncnumeric,0.01,2
3,racePctAsiannumeric,0.005,2
3,racePctWhitenumeric,0.015,2
3,racepctblacknumeric,0.005,2
3,unrelated_column_two,0.16,2

